date,city,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmh,season,year,month,day,day_of_year
2015-02-11,VirtualCity,31.43,2.23,79.13,9.99,Winter,2015,2,11,42
2015-02-12,VirtualCity,29.74,4.17,70.7,9.14,Winter,2015,2,12,43
2015-02-13,VirtualCity,31.22,4.37,70.93,10.24,Winter,2015,2,13,44
2015-02-14,VirtualCity,31.17,6.02,72.92,10.73,Winter,2015,2,14,45
2015-02-15,VirtualCity,31.44,2.77,69.19,10.19,Winter,2015,2,15,46
2015-02-16,VirtualCity,32.54,0.0,68.38,8.88,Winter,2015,2,16,47
2015-02-17,VirtualCity,31.69,3.13,72.93,9.39,Winter,2015,2,17,48
2015-02-18,VirtualCity,32.48,3.44,69.42,9.41,Winter,2015,2,18,49
2015-02-19,VirtualCity,31.68,0.72,69.86,8.95,Winter,2015,2,19,50
2015-02-20,VirtualCity,32.12,3.32,69.55,10.34,Winter,2015,2,20,51
2015-02-21,VirtualCity,32.75,2.21,74.6,10.48,Winter,2015,2,21,52
2015-02-22,VirtualCity,29.72,0.05,71.42,11.16,Winter,2015,2,22,53
2015-02-23,VirtualCity,31.53,4.48,71.47,8.96,Winter,2015,2,23,54
2015-02-24,VirtualCity,31.41,1.76,74.41,9.3,Winter,2015,2,24,55
2015-02-25,VirtualCity,31.25,2.11,71.28,11.86,Winter,2015,2,25,56
2015-02-26,VirtualCity,31.9,1.98,70.57,9.8,Winter,2015,2,26,57
2015-02-27,VirtualCity,34.64,5.72,73.39,10.03,Winter,2015,2,27,58
2015-02-28,VirtualCity,31.2,2.91,74.0,9.79,Winter,2015,2,28,59
2015-03-01,VirtualCity,34.04,3.17,70.57,11.36,Summer,2015,3,1,60
2015-03-02,VirtualCity,30.15,2.03,71.3,11.41,Summer,2015,3,2,61
2015-03-03,VirtualCity,32.25,4.02,67.67,11.34,Summer,2015,3,3,62
2015-03-04,VirtualCity,33.08,5.97,67.17,10.03,Summer,2015,3,4,63
2015-03-05,VirtualCity,33.8,4.43,73.51,8.95,Summer,2015,3,5,64
2015-03-06,VirtualCity,34.06,4.51,72.03,12.31,Summer,2015,3,6,65
2015-03-07,VirtualCity,34.26,4.33,71.88,11.02,Summer,2015,3,7,66
2015-03-08,VirtualCity,32.61,0.0,71.0,9.44,Summer,2015,3,8,67
2015-03-09,VirtualCity,32.51,1.07,69.87,11.7,Summer,2015,3,9,68
2015-03-10,VirtualCity,34.56,2.55,72.28,9.34,Summer,2015,3,10,69
2015-03-11,VirtualCity,33.05,1.4,73.04,11.67,Summer,2015,3,11,70
2015-03-12,VirtualCity,31.48,0.66,72.75,11.75,Summer,2015,3,12,71
2015-03-13,VirtualCity,31.75,0.0,68.51,8.86,Summer,2015,3,13,72
2015-03-14,VirtualCity,32.13,0.04,74.27,10.66,Summer,2015,3,14,73
2015-03-15,VirtualCity,34.31,2.44,69.44,10.89,Summer,2015,3,15,74
2015-03-16,VirtualCity,33.82,2.85,70.85,13.08,Summer,2015,3,16,75
2015-03-17,VirtualCity,34.69,1.26,69.25,9.05,Summer,2015,3,17,76
2015-03-18,VirtualCity,33.06,3.17,68.91,11.65,Summer,2015,3,18,77
2015-03-19,VirtualCity,33.98,2.05,64.78,9.94,Summer,2015,3,19,78
2015-03-20,VirtualCity,34.71,5.4,70.33,8.42,Summer,2015,3,20,79
2015-03-21,VirtualCity,33.35,2.64,78.7,9.75,Summer,2015,3,21,80
2015-03-22,VirtualCity,34.53,4.53,65.62,9.89,Summer,2015,3,22,81
2015-03-23,VirtualCity,32.88,3.45,67.2,8.6,Summer,2015,3,23,82
2015-03-24,VirtualCity,33.35,0.0,64.93,10.24,Summer,2015,3,24,83
2015-03-25,VirtualCity,33.35,2.8,64.55,11.0,Summer,2015,3,25,84
2015-03-26,VirtualCity,32.15,0.28,72.48,10.12,Summer,2015,3,26,85
2015-03-27,VirtualCity,34.69,2.76,63.4,9.17,Summer,2015,3,27,86
2015-03-28,VirtualCity,33.27,1.36,63.99,9.63,Summer,2015,3,28,87
2015-03-29,VirtualCity,34.0,3.84,59.33,9.79,Summer,2015,3,29,88
2015-03-30,VirtualCity,34.71,0.05,62.45,10.04,Summer,2015,3,30,89
2015-03-31,VirtualCity,34.67,3.03,58.44,11.09,Summer,2015,3,31,90
2015-04-01,VirtualCity,35.0,4.26,67.59,10.07,Summer,2015,4,1,91
2015-04-02,VirtualCity,33.85,5.0,76.06,8.04,Summer,2015,4,2,92
2015-04-03,VirtualCity,33.36,1.32,63.18,9.04,Summer,2015,4,3,93
2015-04-04,VirtualCity,33.87,3.04,57.78,9.89,Summer,2015,4,4,94
2015-04-05,VirtualCity,31.45,3.41,67.84,11.02,Summer,2015,4,5,95
2015-04-06,VirtualCity,31.8,6.4,61.13,11.21,Summer,2015,4,6,96
2015-04-07,VirtualCity,31.97,0.0,69.03,11.76,Summer,2015,4,7,97
2015-04-08,VirtualCity,32.44,1.0,62.49,9.77,Summer,2015,4,8,98
2015-04-09,VirtualCity,34.51,9.17,60.89,10.51,Summer,2015,4,9,99
2015-04-10,VirtualCity,32.53,2.4,62.5,7.83,Summer,2015,4,10,100
2015-04-11,VirtualCity,33.29,0.0,66.04,10.07,Summer,2015,4,11,101
2015-04-12,VirtualCity,35.78,1.72,61.9,8.24,Summer,2015,4,12,102
2015-04-13,VirtualCity,33.26,0.0,60.62,9.43,Summer,2015,4,13,103
2015-04-14,VirtualCity,34.87,3.53,61.61,13.12,Summer,2015,4,14,104
2015-04-15,VirtualCity,32.32,4.78,57.11,9.83,Summer,2015,4,15,105
2015-04-16,VirtualCity,33.37,0.99,63.59,8.4,Summer,2015,4,16,106
2015-04-17,VirtualCity,32.21,1.96,54.65,9.9,Summer,2015,4,17,107
2015-04-18,VirtualCity,33.08,5.03,59.83,8.77,Summer,2015,4,18,108
2015-04-19,VirtualCity,34.8,0.0,64.44,8.21,Summer,2015,4,19,109
2015-04-20,VirtualCity,30.9,0.09,62.42,11.86,Summer,2015,4,20,110
2015-04-21,VirtualCity,34.08,2.5,63.37,10.59,Summer,2015,4,21,111
2015-04-22,VirtualCity,33.73,1.34,60.56,9.7,Summer,2015,4,22,112
2015-04-23,VirtualCity,32.42,2.35,65.31,8.79,Summer,2015,4,23,113
2015-04-24,VirtualCity,31.08,0.22,64.13,8.86,Summer,2015,4,24,114
2015-04-25,VirtualCity,33.29,1.4449999999999998,62.03,11.06,Summer,2015,4,25,115
2015-04-26,VirtualCity,32.32,2.67,63.77,9.55,Summer,2015,4,26,116
2015-04-27,VirtualCity,33.39,4.21,62.87,5.45,Summer,2015,4,27,117
2015-04-28,VirtualCity,33.0,3.44,57.92,12.03,Summer,2015,4,28,118
2015-04-29,VirtualCity,35.29,3.45,54.12,9.31,Summer,2015,4,29,119
2015-04-30,VirtualCity,32.45,0.0,61.0,9.48,Summer,2015,4,30,120
2015-05-01,VirtualCity,31.19,4.08,61.32,10.34,Summer,2015,5,1,121
2015-05-02,VirtualCity,32.91,2.27,63.32,9.56,Summer,2015,5,2,122
2015-05-03,VirtualCity,32.88,2.63,55.03,9.87,Summer,2015,5,3,123
2015-05-04,VirtualCity,34.5,5.31,54.98,8.44,Summer,2015,5,4,124
2015-05-05,VirtualCity,33.62,1.42,60.27,7.44,Summer,2015,5,5,125
2015-05-06,VirtualCity,32.81,5.97,57.97,9.22,Summer,2015,5,6,126
2015-05-07,VirtualCity,34.37,6.18,50.54,10.57,Summer,2015,5,7,127
2015-05-08,VirtualCity,30.29,4.66,59.42,8.04,Summer,2015,5,8,128
2015-05-09,VirtualCity,31.01,0.84,50.34,7.92,Summer,2015,5,9,129
2015-05-10,VirtualCity,30.48,0.0,53.81,10.22,Summer,2015,5,10,130
2015-05-11,VirtualCity,31.17,5.37,62.84,8.18,Summer,2015,5,11,131
2015-05-12,VirtualCity,29.58,3.25,64.57,8.2,Summer,2015,5,12,132
2015-05-13,VirtualCity,32.49,1.36,52.25,8.21,Summer,2015,5,13,133
2015-05-14,VirtualCity,31.09,5.58,55.64,8.55,Summer,2015,5,14,134
2015-05-15,VirtualCity,29.1,1.1,56.98,6.71,Summer,2015,5,15,135
2015-05-16,VirtualCity,29.66,2.07,63.78,7.92,Summer,2015,5,16,136
2015-05-17,VirtualCity,31.54,4.15,54.54,8.81,Summer,2015,5,17,137
2015-05-18,VirtualCity,32.2,0.55,54.46,8.77,Summer,2015,5,18,138
2015-05-19,VirtualCity,33.81,2.76,62.42,9.85,Summer,2015,5,19,139
2015-05-20,VirtualCity,35.06,5.4,54.58,10.64,Summer,2015,5,20,140
2015-05-21,VirtualCity,31.19,3.57,58.84,10.21,Summer,2015,5,21,141
2015-05-22,VirtualCity,28.95,5.95,49.9,9.46,Summer,2015,5,22,142
2015-05-23,VirtualCity,27.1,5.8,55.0,8.15,Summer,2015,5,23,143
2015-05-24,VirtualCity,30.57,3.43,48.91,7.55,Summer,2015,5,24,144
2015-05-25,VirtualCity,28.81,0.0,51.21,8.28,Summer,2015,5,25,145
2015-05-26,VirtualCity,29.27,1.19,58.66,8.93,Summer,2015,5,26,146
2015-05-27,VirtualCity,28.83,5.4,54.98,9.18,Summer,2015,5,27,147
2015-05-28,VirtualCity,29.4,0.41,53.79,8.91,Summer,2015,5,28,148
2015-05-29,VirtualCity,31.07,3.21,51.96,7.98,Summer,2015,5,29,149
2015-05-30,VirtualCity,29.56,4.77,53.96,9.03,Summer,2015,5,30,150
2015-05-31,VirtualCity,28.94,7.36,55.94,9.57,Summer,2015,5,31,151
2015-06-01,VirtualCity,27.47,2.96,58.56,9.08,Monsoon,2015,6,1,152
2015-06-02,VirtualCity,26.37,2.91,44.02,7.95,Monsoon,2015,6,2,153
2015-06-03,VirtualCity,28.0,4.32,51.1,6.95,Monsoon,2015,6,3,154
2015-06-04,VirtualCity,28.49,5.3,54.97,6.89,Monsoon,2015,6,4,155
2015-06-05,VirtualCity,31.07,4.29,53.84,7.07,Monsoon,2015,6,5,156
2015-06-06,VirtualCity,28.46,7.04,55.76,8.16,Monsoon,2015,6,6,157
2015-06-07,VirtualCity,29.58,3.07,55.13,8.44,Monsoon,2015,6,7,158
2015-06-08,VirtualCity,27.2,5.19,52.76,6.08,Monsoon,2015,6,8,159
2015-06-09,VirtualCity,26.02,6.0,51.79,7.14,Monsoon,2015,6,9,160
2015-06-10,VirtualCity,26.19,4.24,52.84,8.0,Monsoon,2015,6,10,161
2015-06-11,VirtualCity,26.39,7.06,58.34,6.6,Monsoon,2015,6,11,162
2015-06-12,VirtualCity,30.5,5.64,50.75,8.17,Monsoon,2015,6,12,163
2015-06-13,VirtualCity,25.92,7.14,53.36,7.24,Monsoon,2015,6,13,164
2015-06-14,VirtualCity,28.24,5.93,54.28,6.71,Monsoon,2015,6,14,165
2015-06-15,VirtualCity,25.47,6.42,59.73,7.61,Monsoon,2015,6,15,166
2015-06-16,VirtualCity,28.05,4.3,52.23,7.98,Monsoon,2015,6,16,167
2015-06-17,VirtualCity,27.07,4.39,57.21,6.46,Monsoon,2015,6,17,168
2015-06-18,VirtualCity,26.09,8.56,58.26,7.15,Monsoon,2015,6,18,169
2015-06-19,VirtualCity,26.09,7.36,53.03,7.97,Monsoon,2015,6,19,170
2015-06-20,VirtualCity,25.0,3.8,52.4,6.46,Monsoon,2015,6,20,171
2015-06-21,VirtualCity,26.49,6.54,51.88,5.36,Monsoon,2015,6,21,172
2015-06-22,VirtualCity,24.97,1.0,52.14,5.47,Monsoon,2015,6,22,173
2015-06-23,VirtualCity,23.64,5.05,56.55,6.78,Monsoon,2015,6,23,174
2015-06-24,VirtualCity,23.39,8.51,54.03,5.67,Monsoon,2015,6,24,175
2015-06-25,VirtualCity,25.4,6.21,54.02,6.8,Monsoon,2015,6,25,176
2015-06-26,VirtualCity,27.33,6.83,48.56,9.18,Monsoon,2015,6,26,177
2015-06-27,VirtualCity,25.03,0.01,49.17,5.5,Monsoon,2015,6,27,178
2015-06-28,VirtualCity,24.45,5.87,61.6,6.78,Monsoon,2015,6,28,179
2015-06-29,VirtualCity,24.88,7.55,52.3,9.65,Monsoon,2015,6,29,180
2015-06-30,VirtualCity,26.24,7.91,49.91,7.55,Monsoon,2015,6,30,181
2015-07-01,VirtualCity,24.44,9.08,58.73,6.59,Monsoon,2015,7,1,182
2015-07-02,VirtualCity,23.32,6.58,54.13,6.81,Monsoon,2015,7,2,183
2015-07-03,VirtualCity,25.42,6.76,55.32,7.49,Monsoon,2015,7,3,184
2015-07-04,VirtualCity,24.23,4.26,52.46,8.98,Monsoon,2015,7,4,185
2015-07-05,VirtualCity,25.72,6.82,51.75,6.28,Monsoon,2015,7,5,186
2015-07-06,VirtualCity,23.52,4.56,52.36,5.98,Monsoon,2015,7,6,187
2015-07-07,VirtualCity,21.24,3.34,47.52,5.2,Monsoon,2015,7,7,188
2015-07-08,VirtualCity,20.85,5.09,52.72,6.95,Monsoon,2015,7,8,189
2015-07-09,VirtualCity,25.21,10.87,54.28,5.11,Monsoon,2015,7,9,190
2015-07-10,VirtualCity,25.15,7.02,60.53,6.22,Monsoon,2015,7,10,191
2015-07-11,VirtualCity,22.12,8.16,53.5,5.66,Monsoon,2015,7,11,192
2015-07-12,VirtualCity,21.65,6.61,43.85,8.01,Monsoon,2015,7,12,193
2015-07-13,VirtualCity,24.25,3.87,52.85,6.08,Monsoon,2015,7,13,194
2015-07-14,VirtualCity,20.23,9.93,64.23,7.14,Monsoon,2015,7,14,195
2015-07-15,VirtualCity,20.38,3.15,56.78,4.72,Monsoon,2015,7,15,196
2015-07-16,VirtualCity,22.52,6.76,50.12,6.78,Monsoon,2015,7,16,197
2015-07-17,VirtualCity,20.79,7.92,55.78,5.15,Monsoon,2015,7,17,198
2015-07-18,VirtualCity,21.21,8.6,50.5,6.06,Monsoon,2015,7,18,199
2015-07-19,VirtualCity,20.81,6.55,48.12,9.2,Monsoon,2015,7,19,200
2015-07-20,VirtualCity,21.4,4.16,52.2,7.64,Monsoon,2015,7,20,201
2015-07-21,VirtualCity,22.84,6.49,54.03,6.34,Monsoon,2015,7,21,202
2015-07-22,VirtualCity,20.7,6.66,46.24,10.31,Monsoon,2015,7,22,203
2015-07-23,VirtualCity,21.37,6.65,49.21,5.36,Monsoon,2015,7,23,204
2015-07-24,VirtualCity,17.17,10.53,53.92,7.83,Monsoon,2015,7,24,205
2015-07-25,VirtualCity,20.01,5.77,52.32,4.57,Monsoon,2015,7,25,206
2015-07-26,VirtualCity,18.66,9.15,55.62,6.1,Monsoon,2015,7,26,207
2015-07-27,VirtualCity,17.94,8.87,49.27,4.75,Monsoon,2015,7,27,208
2015-07-28,VirtualCity,18.3,10.68,57.07,6.66,Monsoon,2015,7,28,209
2015-07-29,VirtualCity,18.96,8.31,49.57,6.4,Monsoon,2015,7,29,210
2015-07-30,VirtualCity,20.68,10.38,60.97,5.94,Monsoon,2015,7,30,211
2015-07-31,VirtualCity,17.17,8.29,47.64,7.6,Monsoon,2015,7,31,212
2015-08-01,VirtualCity,19.06,9.66,50.23,5.6,Monsoon,2015,8,1,213
2015-08-02,VirtualCity,18.13,5.43,56.38,6.65,Monsoon,2015,8,2,214
2015-08-03,VirtualCity,18.22,2.96,61.47,7.23,Monsoon,2015,8,3,215
2015-08-04,VirtualCity,20.07,9.62,56.18,4.45,Monsoon,2015,8,4,216
2015-08-05,VirtualCity,19.23,9.77,57.29,5.31,Monsoon,2015,8,5,217
2015-08-06,VirtualCity,20.29,9.89,55.22,6.26,Monsoon,2015,8,6,218
2015-08-07,VirtualCity,17.91,7.71,51.17,6.94,Monsoon,2015,8,7,219
2015-08-08,VirtualCity,16.96,12.16,53.44,7.87,Monsoon,2015,8,8,220
2015-08-09,VirtualCity,17.53,7.89,50.67,5.89,Monsoon,2015,8,9,221
2015-08-10,VirtualCity,18.1,9.85,50.53,5.76,Monsoon,2015,8,10,222
2015-08-11,VirtualCity,17.86,10.25,57.39,5.08,Monsoon,2015,8,11,223
2015-08-12,VirtualCity,15.84,12.73,51.42,6.51,Monsoon,2015,8,12,224
2015-08-13,VirtualCity,17.47,8.27,57.33,5.75,Monsoon,2015,8,13,225
2015-08-14,VirtualCity,17.55,7.54,50.98,5.77,Monsoon,2015,8,14,226
2015-08-15,VirtualCity,20.86,5.69,57.52,5.97,Monsoon,2015,8,15,227
2015-08-16,VirtualCity,19.78,12.41,54.52,6.74,Monsoon,2015,8,16,228
2015-08-17,VirtualCity,15.56,9.92,62.25,5.39,Monsoon,2015,8,17,229
2015-08-18,VirtualCity,16.29,10.0,58.06,5.13,Monsoon,2015,8,18,230
2015-08-19,VirtualCity,14.41,15.86,61.86,6.57,Monsoon,2015,8,19,231
2015-08-20,VirtualCity,15.61,9.71,54.05,2.41,Monsoon,2015,8,20,232
2015-08-21,VirtualCity,16.85,6.13,57.46,5.31,Monsoon,2015,8,21,233
2015-08-22,VirtualCity,18.08,8.56,53.46,4.65,Monsoon,2015,8,22,234
2015-08-23,VirtualCity,15.07,6.84,55.9,7.47,Monsoon,2015,8,23,235
2015-08-24,VirtualCity,15.07,8.11,56.66,5.49,Monsoon,2015,8,24,236
2015-08-25,VirtualCity,12.73,8.09,54.97,5.34,Monsoon,2015,8,25,237
2015-08-26,VirtualCity,15.61,7.67,53.18,5.95,Monsoon,2015,8,26,238
2015-08-27,VirtualCity,14.16,5.88,52.56,5.29,Monsoon,2015,8,27,239
2015-08-28,VirtualCity,14.86,12.44,49.03,5.52,Monsoon,2015,8,28,240
2015-08-29,VirtualCity,14.25,9.57,54.33,6.12,Monsoon,2015,8,29,241
2015-08-30,VirtualCity,15.33,8.4,61.24,5.49,Monsoon,2015,8,30,242
2015-08-31,VirtualCity,12.75,10.55,52.52,5.49,Monsoon,2015,8,31,243
2015-09-01,VirtualCity,13.1,9.89,53.62,4.79,Monsoon,2015,9,1,244
2015-09-02,VirtualCity,18.41,9.44,66.43,4.62,Monsoon,2015,9,2,245
2015-09-03,VirtualCity,13.2,10.32,56.91,6.07,Monsoon,2015,9,3,246
2015-09-04,VirtualCity,13.41,9.08,60.92,6.37,Monsoon,2015,9,4,247
2015-09-05,VirtualCity,17.73,10.23,62.39,4.29,Monsoon,2015,9,5,248
2015-09-06,VirtualCity,19.26,10.38,62.66,6.92,Monsoon,2015,9,6,249
2015-09-07,VirtualCity,13.08,9.05,54.11,6.93,Monsoon,2015,9,7,250
2015-09-08,VirtualCity,14.22,8.17,59.46,7.18,Monsoon,2015,9,8,251
2015-09-09,VirtualCity,15.22,11.99,54.11,6.38,Monsoon,2015,9,9,252
2015-09-10,VirtualCity,17.23,7.54,70.56,6.79,Monsoon,2015,9,10,253
2015-09-11,VirtualCity,13.1,9.41,54.59,8.65,Monsoon,2015,9,11,254
2015-09-12,VirtualCity,14.16,9.42,56.97,5.67,Monsoon,2015,9,12,255
2015-09-13,VirtualCity,15.64,7.13,57.19,4.79,Monsoon,2015,9,13,256
2015-09-14,VirtualCity,15.07,6.65,55.57,4.21,Monsoon,2015,9,14,257
2015-09-15,VirtualCity,13.81,7.6,67.16,8.17,Monsoon,2015,9,15,258
2015-09-16,VirtualCity,14.13,7.25,71.64,8.19,Monsoon,2015,9,16,259
2015-09-17,VirtualCity,12.22,5.08,60.25,4.97,Monsoon,2015,9,17,260
2015-09-18,VirtualCity,13.89,6.8,57.07,5.21,Monsoon,2015,9,18,261
2015-09-19,VirtualCity,13.81,8.77,53.61,5.71,Monsoon,2015,9,19,262
2015-09-20,VirtualCity,14.52,10.92,61.78,7.58,Monsoon,2015,9,20,263
2015-09-21,VirtualCity,13.31,9.3,61.69,4.57,Monsoon,2015,9,21,264
2015-09-22,VirtualCity,14.83,2.3,60.56,3.77,Monsoon,2015,9,22,265
2015-09-23,VirtualCity,15.61,9.37,64.25,8.74,Monsoon,2015,9,23,266
2015-09-24,VirtualCity,14.3,6.68,65.15,6.53,Monsoon,2015,9,24,267
2015-09-25,VirtualCity,14.58,8.84,65.07,6.71,Monsoon,2015,9,25,268
2015-09-26,VirtualCity,14.12,7.75,62.72,5.94,Monsoon,2015,9,26,269
2015-09-27,VirtualCity,14.02,7.3,59.78,6.76,Monsoon,2015,9,27,270
2015-09-28,VirtualCity,12.93,7.43,67.06,4.4,Monsoon,2015,9,28,271
2015-09-29,VirtualCity,14.48,7.54,64.65,5.22,Monsoon,2015,9,29,272
2015-09-30,VirtualCity,13.86,10.48,68.36,6.37,Monsoon,2015,9,30,273
2015-10-01,VirtualCity,17.14,7.41,68.17,3.54,Autumn,2015,10,1,274
2015-10-02,VirtualCity,16.36,9.77,59.53,5.92,Autumn,2015,10,2,275
2015-10-03,VirtualCity,14.59,9.38,59.69,5.86,Autumn,2015,10,3,276
2015-10-04,VirtualCity,12.87,8.71,62.61,5.95,Autumn,2015,10,4,277
2015-10-05,VirtualCity,12.36,3.24,61.61,5.67,Autumn,2015,10,5,278
2015-10-06,VirtualCity,15.82,9.55,69.06,5.16,Autumn,2015,10,6,279
2015-10-07,VirtualCity,14.45,6.01,67.65,4.19,Autumn,2015,10,7,280
2015-10-08,VirtualCity,14.79,8.51,70.85,6.57,Autumn,2015,10,8,281
2015-10-09,VirtualCity,11.48,4.72,68.24,6.05,Autumn,2015,10,9,282
2015-10-10,VirtualCity,15.51,4.17,67.7,4.78,Autumn,2015,10,10,283
2015-10-11,VirtualCity,14.83,11.05,71.87,6.53,Autumn,2015,10,11,284
2015-10-12,VirtualCity,12.51,4.51,69.15,6.12,Autumn,2015,10,12,285
2015-10-13,VirtualCity,13.51,9.06,67.74,5.95,Autumn,2015,10,13,286
2015-10-14,VirtualCity,14.65,6.71,73.6,3.94,Autumn,2015,10,14,287
2015-10-15,VirtualCity,14.37,5.44,68.34,7.37,Autumn,2015,10,15,288
2015-10-16,VirtualCity,13.9,6.18,66.86,5.09,Autumn,2015,10,16,289
2015-10-17,VirtualCity,14.22,3.33,64.92,6.67,Autumn,2015,10,17,290
2015-10-18,VirtualCity,14.05,6.08,71.28,5.65,Autumn,2015,10,18,291
2015-10-19,VirtualCity,14.71,3.63,73.62,6.18,Autumn,2015,10,19,292
2015-10-20,VirtualCity,16.74,5.06,68.66,8.05,Autumn,2015,10,20,293
2015-10-21,VirtualCity,10.74,7.87,74.29,7.33,Autumn,2015,10,21,294
2015-10-22,VirtualCity,14.29,6.3,61.37,8.08,Autumn,2015,10,22,295
2015-10-23,VirtualCity,14.98,2.39,69.22,7.15,Autumn,2015,10,23,296
2015-10-24,VirtualCity,15.22,7.43,69.48,7.25,Autumn,2015,10,24,297
2015-10-25,VirtualCity,14.29,5.45,66.92,4.67,Autumn,2015,10,25,298
2015-10-26,VirtualCity,12.28,4.18,79.55,6.45,Autumn,2015,10,26,299
2015-10-27,VirtualCity,15.48,6.92,69.94,6.59,Autumn,2015,10,27,300
2015-10-28,VirtualCity,17.66,4.81,68.76,8.36,Autumn,2015,10,28,301
2015-10-29,VirtualCity,12.84,2.52,70.67,6.31,Autumn,2015,10,29,302
2015-10-30,VirtualCity,16.52,9.05,62.74,7.26,Autumn,2015,10,30,303
2015-10-31,VirtualCity,14.81,4.85,67.89,7.25,Autumn,2015,10,31,304
2015-11-01,VirtualCity,15.3,4.61,75.04,8.39,Autumn,2015,11,1,305
2015-11-02,VirtualCity,13.9,3.8,68.77,6.88,Autumn,2015,11,2,306
2015-11-03,VirtualCity,15.07,7.19,68.15,8.06,Autumn,2015,11,3,307
2015-11-04,VirtualCity,17.62,3.34,76.87,5.05,Autumn,2015,11,4,308
2015-11-05,VirtualCity,16.64,0.99,77.17,5.19,Autumn,2015,11,5,309
2015-11-06,VirtualCity,18.46,2.8,74.04,4.42,Autumn,2015,11,6,310
2015-11-07,VirtualCity,17.73,7.11,70.32,8.13,Autumn,2015,11,7,311
2015-11-08,VirtualCity,16.73,5.92,71.35,8.03,Autumn,2015,11,8,312
2015-11-09,VirtualCity,18.79,3.43,69.25,8.33,Autumn,2015,11,9,313
2015-11-10,VirtualCity,16.94,6.91,68.65,6.47,Autumn,2015,11,10,314
2015-11-11,VirtualCity,17.63,5.43,68.61,6.64,Autumn,2015,11,11,315
2015-11-12,VirtualCity,16.06,3.1,70.47,7.2,Autumn,2015,11,12,316
